type,kw,machine,state,ab_state,training_accuracy,training_threshold,validataion_accuracy,precision,recall,fscore,support,confusion_matrix_00,confusion_matrix_01,confusion_matrix_10,confusion_matrix_11
vibration,11,L-CAF-01R,정상,축정렬불량,0,0.065795799,0.434860968,0.437257439,0.337831084,0.381167184,2001,676,1325,870,1013
vibration,11,L-CAF-01R,정상,회전체불평형,0,0.065795799,0.434860968,0.437257439,0.337831084,0.381167184,2001,676,1325,870,1013
vibration,11,R-CAHU-01R,정상,벨트느슨함,0.881625,0.113987005,0.893442623,0.889789303,0.974556213,0.930245693,1690,1647,43,204,424
vibration,11,R-CHAU-02R,정상,벨트느슨함,1,0.093670159,0.472111554,0.523013871,0.829085457,0.641407307,2001,1659,342,1513,0
vibration,18.5,R-CAHU-01S,정상,벨트느슨함,0.003,0.132955762,0.175556151,0.128712871,0.004331889,0.008381689,3001,13,2988,88,642
vibration,18.5,R-CAHU-02S,정상,베어링불량,1,0.056080563,0.641513467,0.641513467,1,0.781612189,3001,3001,0,1677,0
vibration,2.2,L-DSF-01,정상,축정렬불량,0.0115,0.079649951,0.677545692,0.680872483,0.982090997,0.804201348,2066,2029,37,951,47
vibration,2.2,L-EF-04,정상,회전체불평형,1,0.016404997,0.327508817,0.327508817,1,0.493418669,2043,2043,0,4195,0
vibration,2.2,L-SF-04,정상,베어링불량,0,0.081100525,0.691190108,0.743554007,0.890279516,0.81032846,2397,2134,263,736,102
vibration,2.2,R-EF-05,정상,벨트느슨함,0.983125,0.072584493,0.290550595,0.722222222,0.020196789,0.03929471,1931,39,1892,15,742
vibration,2.2,R-SF-03,정상,벨트느슨함,0.6149,0.064413534,0.562252964,0.562252964,1,0.719797596,1707,1707,0,1329,0
vibration,22,L-CAHU-01S,정상,축정렬불량,0,0.078417692,0.504494786,0.524308153,0.929708223,0.670492587,1508,1402,106,1272,1
vibration,22,R-CAHU-02S,정상,벨트느슨함,0.99625,0.132333509,0.177910773,0.492099323,0.217927358,0.302078522,3001,654,2347,675,0
vibration,3.7,L-EF-02,정상,베어링불량,0.0011,0.124173625,0.828095537,0.932374867,0.806540765,0.864904915,2171,1751,420,127,884
vibration,5.5,L-SF-02,정상,베어링불량,1,0.105941305,0.000264131,0.000628536,0.000455373,0.000528123,2196,1,2195,1590,0
vibration,5.5,R-CAHU-01R,정상,회전체불평형,1,0.032438398,0.544637997,0.544637997,1,0.705198238,2001,2001,0,1673,0
vibration,5.5,R-SF-01,정상,축정렬불량,1,0.037432994,0.568582812,0.569068641,0.99850075,0.724963716,2001,1998,3,1513,0
vibration,55,R-PAHU-04S,정상,벨트느슨함,0.21925,0.104641771,0.132521974,0.427015251,0.161184211,0.234029851,3648,588,3060,789,0
vibration,7.5,L-PAC-01,정상,회전체불평형,1,0.105941305,0.000264131,0.000628536,0.000455373,0.000528123,2196,1,2195,1590,0
vibration,7.5,R-PAC-01S,정상,축정렬불량,0,0.065795799,0.434860968,0.437257439,0.337831084,0.381167184,2001,676,1325,870,1013
